id,name,year,genre,joy,sadness,anger,love,fear,song_emotion,lyrics
6qcTBJCVLQwATrFFBapcyf,Can’t Get Enough,2019,Electronic,6,2,0,0,0,joy,"You the man
Mackin', mayhem, murder, milk, money
Mobbin', M&M, oh man
(I'm GRiZ)
Man, G is for what?
Keepin' it gutter
Time to boogie
I killed myself but I ain't dead
'Cause I love someone, don't love me back (shit!)
I love too much
I smoke too much
I drink too much
I work too much but it's not enough
I made a million, gon' make some more (yeah)
I got the keys, need to lock some doors (ha ha)
Can't let them in
Can't let them win
Can't block a square
And they won't stop until they see me sin
La la la la la
La la la la la
(Until they see me sin)
La la la la la
La la la la la
(And they won't stop until they see me sin)
La la la la la ('til they see me sin)
La la la la la ('til they see me sin)
La la la la la (and they won't stop, they won't stop)
La la la
Time to boogie
(La la la)
Boogie time
(La la la)
This world's on fire and I can't chill
'Cause I got too good at burning bridges I built (yeah)
We tear us down with hateful sounds
We lost our love and pray to God
Like ""Can you save me still?""
Life is rich, but we feel poor
We don't count our blessings, we ask for more
We just buy more stuff
Take more drugs
Take more love
And we don't give 'cause we ain't get enough
La la la la la
La la la la la
(We ain't get enough)
La la la la la
La la la la la
(We won't stop 'cause we ain't get enough)
La la la la la (we ain't get enough)
La la la la la (we ain't get enough)
La la la la la (we won't stop, we won't stop)
La la la
Time to boogie
(La la la)
Boogie time
(La la la)"
3ZdRd53sNTsVY3sLFoTriD,2012 Summer,2019,Hip-Hop,0,1,2,0,1,anger,"(High quality film, right?) Yo, yo, yo, ayy, it's like would you
Yo, yo, yo, ayy, it's like would you
Uh, ayy, no, not the same way
Whoa, ayy, yo, yo, whoa, whoa, ayy

It's like, would you love me? No, not the same way
If it get ugly, you know the gang way
Like, ""Show me off in public"", this a strange way
Like 2012 summer how I'm movin' in a straight eight
I hit you when I landed, lil' dummy, you a day late
I be here often, your city my vacay
I rocked with them last year, it's funny, we changed place
I'm only on cash shit, them niggas in eighth grade, yeah
Why they mad at Lucki? I'm a bodeine lover
My fans worry 'bout my health so I ain't sippin' in public
Momma told me 'bout myself, so I can't listen to nothing
I need grandma picture with me, I won't sip if she near me
I can't get a bitch the glory, this bitch think she a Britney
I got bitches on my story mad at me, but who isn't?
So shit hit me with ""What?"", you saw Sawbuck with who?
I got Perky on my mental, I won't give you a clue

Like would you, ayy, no the same way
If it get, ayy, ayy, you know the gang way
Like would you, ayy, ayy, no, not the, uh, yo
Like would you, uh, yo, yo, yo, yo
Ayy, like would you love me? No, not the same way
If it get ugly, you know the gang way
No, nothing from me, no, not the same way
Like would you, ayy, ayy, no, not the same way
Like would you, uhh"
4A1Egs5QQCHGClMB53HLGW,The Effects of Climate Change on Densely Populated Areas,2019,Hip-Hop,2,0,2,2,1,joy,"(Reporter speaks)

100 degrees at midnight for the third day in row
Nobody's sleepin' well and I can feel the tension growin'
LA with rollin' brownouts, rollin' papers and rollin' sixties
Heat exhaustion increasing caution across the city
Some people hit the mall, they're tryin' to stay cool
Some people call the cops; ""there's black children in the pool""
Everybody's lookin' sideways, we're ragin' on the highways
I hate it, I'm tryin' to stay hydrated and faded but my way
Is blocked by road construction like a scene from ""Falling Down""
Cops, they tryin' to function but it seems they takin' down us
Brown people at will, people get hot and then killed
As the sun begins to set it's hotter, no-one can chill
Everybody's windows open there's not a moment of silence
Alcohol heatin' frustration that's increasing domestic violence
9-1-1 is overwhelmed, homie, guess you on your own
The hills are still on fire, I recommend you stay at home

We got a heatwave
This burn, it's like a heatwave
Heatwave, burn it's like a heatwave
The heatwave, burn it's like a heatwave
It's like a heatwave

Now, Thes, man check this out
Karma's a bitch and so is LA
Crime always matters, but my rhyme pays
I'm drinkin' ice tea, might splash a little in it
Down the block they said the little homie did it
I hope he didn't, 'cause it's hot out here
Seen the worse of the heat, yet I have no fear
We blastin' P. E. in front of the enemy
From the days of Tom Bradley, y'all consider me
The owner of raptivity(?), known for bad activity
'Cause people they be pissin' me, and I'm off the stage
Pull out the steely dan, make your leg a peg
Nah, I'm just jokin', chokin' on a smokin' provokin'
Good vibes, good rhymes and such
Put on your visor with the tinted green in it
Yo, it's hot, B
No, it's hot, G
Yo, it's hot, B
And we watch the record spin

Heatwave
Burn, it's like a heatwave
Heatwave, burn it's like a heatwave
It's like a heatwave, burn it's like a heatwave
Heatwave

(news report)
I mean, I don't know what's going on, yeah
I mean I pay the bills, I don't know why it's not working
Uhm, try it again!
Alright, go!
Testing, 1, 2, 3"
01s1bKgpQm5JxuhVJSMf7T,Don't Ask Me Twice,2019,Electronic,3,2,1,0,1,joy,"I woke up
Dog was gone
I walked around
I felt alone

I don't know
(I don't know)
I don't know
(I don't know)
I don't know
(I don't know)
I don't know
(I don't know)

It's been a long, long, long, long time
I still don't know what's on my mind
It's been a long, long, long, long time
I am waiting for you to get out of my mind

Oh, I woke up
Felt alone
I counted hours in my head
I don't know

I don't know
(I don't know)
I don't know
(I don't know)
I don't know
(I don't know)
I don't know
(I don't know)

Oh, I woke up and I was scared
So I made my way down the stairs
And I thought, Hell, I need to get some rest
Oh, fuck, there goes my fucking head again
And I don't know what I'm doing anymore than I did
Yeah, you thought you knew
Well, I guess everybody did

I don't know
I don't know
I don't know

Take me to Hell
Take me straight up

Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want
Oh, I don't know what I want
But I know what I want"
5FhI6DE7oGxMmqqHRT6qbg,New Ones (feat. NoCap),2019,Hip-Hop,4,6,2,0,0,sadness,"Vicasso on another one

Yeah, yeah, yeah, yeah, yeah
SephGotTheWaves
Whoa
Oh, I
Uh

Run around with them same niggas
I ain't thinking about hanging with new ones
I'll go dig up them old rods
I ain't thinking about buying no new guns
Stuck in the hood, this where my niggas died,
Kinda hard for me to move on
I'm tryna win, I ain't tryna see no tie
I ain't tryna put no suit on
I can buy a hundred steaks
And I still won't meet the cops
My jewelry Frosted Flakes,
I barely got time to see my pops
For the nigga who murdered Slim
No doorbell, I'ma knock 'em out
I'ma put this Glock to work
I just pray to God that he get out, yeah, yeah

Nigga damn near thought about killing myself
'Cause I ain't wanna turn twelve
When I was in the water drowning with them shark
They was thinking oh well
High-speed chase, went and got a room with my bitch,
Thinking will my ho tell?
Me and Joe Dirt locked in for life like we ain't got no bail
I'ma bring my mask out (Brrah)
Then go hunt for the opps, no Easter
See, my bank account got a new balance
I ain't talkin' about no sneaker
Spray 'em down with Clorox
Then make the haters go sit on the bleachers
No new friends like two twins,
I still run with the same people
Run around with them same niggas
I ain't thinking about hanging with new ones
I'll go dig up them old rods
I ain't thinking about buying no new guns
Stuck in the hood, this where my niggas died,
Kinda hard for me to move on
I'm tryna win, I ain't tryna see no tie
I ain't tryna put no suit on
I can buy a hundred steaks
And I still won't meet the cops
My jewelry Frosted Flakes,
I barely got time to see my pops
For the nigga who murdered Slim
No doorbell, I'ma knock 'em out
I'ma put this Glock to work
I just pray to God that he get out, yeah, yeah

Yeah, throwed all my kicks away
I got trust issues (Yeah), throwed all my kicks away
Even my Christian Loubs, but ay, that's how it be
I just didn't see it in you
(Didn't see it in you)
If I smoke cigarettes by the pack
I still won't play like it's cool (Play like it's cool)
I wanna take a trip to Arizona
'Cause all I think about is how I'ma put my hood on like Trayvon
In my zone, they tote automatics
I'ma tear Burnsville down
And I'ma name my projects AutoZone
Last night I couldn't hear
I was too busy thinking about death
Water deep, I shoulda been Michael after all this pain I felt, yeah
Everybody around me armed
Like they ain't got no legs
I told 'em to bear with me
But I had lost a couple Teds
I seen so many starvin'g
They took chances and went fed
Dreams of BET but I'm still in the hood tryna catch a bet
Spend a couple thousand on shoes
It's cool, we'll get it back tomorrow
Running with the semis since I was little
So we gon' pull up in Ferraris

Run around with them same niggas
I ain't thinking about hanging with new ones
I'll go dig up them old rods
I ain't thinking about buying no new guns
Stuck in the hood, this where my niggas died
Kinda hard for me to move on
I'm tryna win, I ain't tryna see no tie
I ain't tryna put no suit on
I can buy a hundred steaks
And I still won't meet the cops
My jewelry Frosted Flakes,
I barely got time to see my pops
For the nigga who murdered Slim
No doorbell, I'ma knock 'em out
I'ma put this Glock to work
I just pray to God that he get out, yeah, yeah"
5iws3klPhPLvXtVKL4YL9k,All On Mine,2019,Hip-Hop,0,1,7,0,0,anger,"These niggas been all up on my dick
These bitches been all up on my dick, oh-oh (Another Mike D exclusive)
KP On The Beat
These niggas been all up on my dick
These bitches been all up on my dick (The Heroes)

Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick
Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick

Slidin' with them sticks, tryna find a bitch and blitz
1106, chapo don't miss
Gon' knock your shit back keep talkin' that shit
And I've been plottin' tryna see who down to slide when pressure hit
If you act like a bitch, then you ain't with the shit
Nigga, get the fuck back 'fore somebody get hit
They like, ""God damn"", them bands, they stuffed all in my pants
I'm on Percocets and if I ain't, you know I'm full of Xans
Glock came with the beam, hold more then 16, no QB for the Rams
The Glock 19 with 30 underneath, this bitch won't jam
Two twenty-three, it go through trees, this bitch can flip a van
Can't forget about my Draco, this bitch'll make you dance
If you taking a piss and up this bitch, it'll make you shit your pants
I've been doing my shit, you on my dick, I know you been a fan

Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick
Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick

Oh, oh, a brand new Rollie
Oh, oh, a new foreign, I drive it like it's stolen
Oh, oh, a brand new Rollie
Oh, oh, a new foreign, I drive it like it's stolen
These niggas been all up on my dick
These bitches been all up on my dick
These niggas been callin' since I'm rich
These bitches been callin' since I'm rich
They been starvin' since I'm rich
These niggas been starvin' since I'm rich
AR came with no kick
So when I hit, bitch, I won't miss
Bitch, you was talkin' all that shit
Bitch, we gon' walk you down with sticks
I been all up on my shits
Oh, they been all up on my dick
I had a Swish when I was sick
Bang

Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick
Left wrist and my right wrist damn I'm icy this a bust down
The foreign car, big body Benz, I drive it like I fucking stole it
I've been on my top alone and will still bust your shit wide open
These bitches been starvin' since I'm rich, these niggas been all up on my dick"
67NbLfQF1yClS82JWjQz8e,Aliens vs Indians,2019,Hip-Hop,4,2,10,0,1,anger,"Taking flight when that bass hit
We different, we different
Tractor beam to my spaceship
We different, we different
Drip, drip, we drippin'
We different, we different
We taking over just face it
Aliens! Indians!

I'm just rollin, rollin, rollin
Up in the clouds, I'm ghosting
The way my drank been flowing
Feel like poetry in motion
Don't make me go Hulk Hogan
Skoden been my slogan
If I live fast, I'll die young
If I live slow, I won't live none
Rez kids fill up the place
With an entourage, Vincent Chase
Fuck the fakes, pump your breaks
Sorry not sorry, FOH
I keep the drama out my diet
I'm thinkin' you should try it
Minay done picked up mileage
Paper planes on auto-pilot
Spoke with the big neechie
Told me watch out for the leechies
And for what its worth, I don't go to church
But I love the way he preaches
I earned my stripes, Adidas
Fuck you non-believers
SNRK been some Beasties Boy we bukwas's in sneakers
Cuz for life I'm rezzy. Forever, forever?
I snipe my shots like Wesley
Like I don't know no better
Outkast baby. I'm singing 'Hey Ya'
Hate the game baby
Don't hate the playa'

Taking flight when that bass hit
We different, we different
Tractor beam to my spaceship
We different, we different
Drip, drip, we drippin'
We different, we different
We taking over just face it
Aliens! Indians!

Two brown bitches in a Cadillac
Spittin' and sippin' we about to scrap
Two loud claps and a tiger strap
White boy stand down we about to snap

Bust through the matrix like a motherfuckin' glitch
Puffin' in the studio, like lemme make a hit
Goonda guerrillas blast Skoden in the whip
Skip town still got the city in my grip

Look me in the eye like an officer
I rap real good when i hear you slur
Goonda flow like a murderer
Finna stunt high key with the rings and fur

Brown like the dirt that bred and bore me
Sweat soaked t-shirt, cut and five three

Look us in the eye when you call us paki
This is how we rap we try to feel free

Fuck your bitch ass history
We got rough kin thugging in my family
Mixed like a mutt is my ancestry
Have you ever seen a bitch like me, EY

It's the Cartel with the Rez Kids
Need a black belt for the bizness
All my goonda gunners they be on the guestlist
Four brown kids lookin' suspicious

I fuck with my city I ride with my people
I run it, I cut it, my tip is illegal
I'll Bateman the bumpkin looking at me cockeyed
Might Mason the moron that calls me a Klondike

Mask on my face like doom when I rap
Ask for your race when I tap
Ask for the base in the track
Ask for the cat all the way in the back

I got the flex and i'm trappin' too hard
We be up next with the criminal clips
We got the bars and we talk the shit
Fuck with Madras if you dare, bitch

Taking flight when that bass hit
We different, we different
Trap the beam to my spaceship
We different, we different
Drip, drip, we drippin'
We different, we different
We taking over just face it
Aliens! Indians!

I've been up for days, I got messy braids
Morning breath in the afternoon
We jump the line, we the next to blow
I've seen bigger lines for the bathroom
No sleep for the trill, Trap moves!
808's and them rap goons
Bad dudes with some bad news
With some bad bitches in a bad mood
Energy, energy, energy
The smoke is heavy when I light the sage
Energy, energy, energy
Wildin' out when I hit the stage
Energy, energy, energy
Jump face first in a mosh pit
Energy, energy, energy
And crowd surf a tidal wave
My energy can be my enemy
When I'm peaking out like ketamine
Awe shit! My people are lit
I'm holdin' it down, but I'm losing my grip
In a mosh pit, I go savage and shit
Bangin' my head and I busted a lip
My skin red, I be talking my shit
And they throw my name at the blacklist?
We live boy, don't mess around with my vibe boy
100 deep in my tribe boy, half of that outside boy
Got ride or dies,
That's no surprise. Bad bitches that'll take your life
Type to take a knife to a gun fight if you ain't with it then bye boy

Taking flight when that bass hit
We different, we different
Tractor beam to my spaceship
We different, we different
Drip, drip, we drippin'
We different, we different
We taking over just face it
Aliens! Indians!

Taking flight when that bass hit
We different, we different
Tractor beam to my spaceship
We different, we different
Drip, drip, we drippin'
We different, we different
We taking over just face it
Aliens! Indians!"
4edFT7XYhwdnuRDECPQqGa,New Eyes - Acoustic,2019,Folk,4,2,0,0,0,joy,"Ocean breeze came cross the weather
 And it chilled us to our bones like
 You told me that it might get harder
 But you don't wanna be alone
 I must confess
 It's been a while and a lot's changed since
 Just haven't found me in the right place yet
 But if you call me then I might say yes
 Oh I might say yes
 I got new eyes
 Now I'm melting like the day I saw ya
 The first time back in '09 ('09)
 Was the wrong time
 We found our way to warmer weather
 Like July back in '09 ('09)
 The trees are full and the days are longer
 And we're sweating through our clothes, yeah
 You're far away out in Ohio
 And I don't wanna be alone
 I must confess
 It's been a while and a lot's changed since
 Just haven't found me in the right place yet
 But if you call me then I might say yes
 Oh I might say yes
 I got new eyes
 Now I'm melting like the day I saw ya
 The first time back in '09 ('09)
 Was the wrong time
 We found our way to warmer weather
 Like July back in '09 ('09)
 Summer weather
 Stay in love forever
 We're in summer weather
 Stay in love forever
 I got new eyes
 Now I'm melting like the day I saw ya
 The first time back in '09
 Was the wrong time
 We found our way to warmer weather
 Like July back in '09 ('09)
 Summer weather
 Stay in love forever
 We're in summer weather
 Stay in love forever
 We're in summer weather
 Stay in love forever
 We're in summer weather
 Stay in love forever"
7mj3oTUSVb9C4ydkaLPHjS,A Good Amount of Gay,2019,Pop,2,1,1,0,0,joy,"You know I'm not a good guy
And I get that you want to leave
Do I get to know why?
Call me Mr FOMO
Nothing but a low blow

Nothing good in goodbyes
I guess it wasn't meant to be
I'm more than just a FaceTime
Someone get an uber,
I'm nothing but a loser

Finish out the tissues in the backseat ah
Why you even crying?
Are you in denial?

You got daddy issues and you know I got mine
Blow each other kisses over fucking FaceTime

A good amount of gay but I walk a straight line
And when I bake a cake, man it tastes like sunshine
I got you a bouquet and it comes with calamine
Put it in your fridge, use it if you itch.
Do you even care?
Don't you even dare.

Disciple
A good amount of gay for the chapel
I'm hearing what you say its only babble
A good amount of grass for the cattle

So go and recycle, psycho.
A good amount of grey on your flannel
A good amount of snake for your rattle
A good amount of horse for your saddle"
44MqvTCcpMokT7CD3jNqoP,Ransom,2019,Electronic,0,3,1,0,1,sadness,"You are like a ransom note
If I give in will you come home?
I put everything I had
Into getting you back
I was only seventeen
And you were the air I breathe
I walked across a burning bridge
For you, for you

Those roads we walked I'll know forever
Those times we talked I still remember
Is it not enough that I
Paid with my heart once or twice
If I'm blind to who you are
Which of us was behind bars?
Oh, we were the price I paid
(We are, we are) The ransom
(The ransom, oh)

I tried to find a way to justify
Missing the signs I knew
My hands were tied the moment we met
And there was more to you
You were only seventeen
And I was your sick release
A hostage on a silver plate
To you, to you

Those roads we walked I'll know forever
Those times we talked I still remember
Is it not enough that I
Paid with my heart once or twice
If I'm blind to who you are
Which of us was behind bars?
Is it not enough that I
Barely got out with my life
I still carry every scar
The ransom
(The ransom)
(I still carry every scar)

Those roads we walked (we walked)
Those times we talked (we talked)"
72jGeL3qwyOrmByT0DUWdj,D.N.A. - Demon and Angel,2019,Rock,6,6,0,0,0,joy,"Stored in your essence
Demon and angel

In the chemical maze of divine life encoded
Wide ocean of truth, sins and lies
I will face the lost secret, the alchemical mirror
To finally know who am I

To transform my dark side
Into a fractal of light
Being demon and angel

(Inner voice) Don't hide it
(Inner choice) Behold it
(Light and shade) Survive it
D.N.A.
(Bravery) Accept it
(Synergy) Control it
(Mortal fate) Transform it
D.N.A.
(Inner voice) Don't hide it
(Inner choice) Behold it
(Light and shade) Survive it
D.N.A.
(Bravery) Accept it
(Synergy) Control it
(Mortal fate) Transform it
D.N.A.

No, there is no limit
For an old soul dreaming
Just a wide horizon
Mirrored in a diamond
I'd feed your fire
With a broken promise
I learned the lesson
To control my falling
To control my falling

Stored in your essence
Demon and angel

In the chemical maze of divine life encoded
Wide ocean of truth, sins and lies
I will face the lost secret, the alchemical mirror
To finally know who am I

To transform my dark side
Into a fractal of light
Being demon and angel

(Inner voice) Don't hide it
(Inner choice) Behold it
(Light and shade) Survive it
D.N.A.
(Bravery) Accept it
(Synergy) Control it
(Mortal fate) Transform it
D.N.A.

I won't harm your essence
Can't deny your presence
You'll remain a symptom
I will learn to hear you
I'd feed your fire
With a broken promise
I learned the lesson
To control my falling
To control my falling

Stored in your essence
Demon and angel

In the chemical maze of divine life encoded
Wide ocean of truth, sins and lies
I will face the lost secret, the alchemical mirror
To finally know who am I

To transform my dark side
Into a fractal of light
Being demon and angel

(Inner voice) Don't hide it
(Inner choice) Behold it
(Light and shade) Survive it
D.N.A.
(Bravery) Accept it
(Synergy) Control it
(Mortal fate) Transform it
D.N.A.

All hidden dangers are stored in your essence
Your karma, your choices, your range of action
All hidden dangers are stored in your essence
Your karma, your choices, your range of action
Evolution, hybrid nature

Stored in your essence
Demon and angel

In the chemical maze of divine life encoded
Wide ocean of truth, sins and lies
I will face the lost secret, the alchemical mirror
To finally know who am I
In the chemical maze of divine life encoded
Wide ocean of truth, sins and lies
I will face the lost secret, the alchemical mirror
To finally know who am I

To transform my dark side
Into a fractal of light
Being demon and angel"
5f4a8LWYVgk4WEQyQhuOwU,Yes & No,2019,Pop,6,0,0,0,0,joy,"Here I am sitting again on the floor in the space of my basement
 Under my breath, I'm reciting the prayer
 I keep on praying
 Déjà vu, me and You (yuh)
 On my knees, yeah, it's true
 God, can't You see in the middle of me
 In between, I am breaking?
 How can I get You to change Your mind?
 That's all I'm sayin'
 Déjà vu, beggin' You (yuh)
 I forget sometimes
 You say yes, You, You say no
 For my best, God, You know
 Better than me, better than me
 You say yes, You, You say no
 For my best, God, You know
 Better than me, better than me, yeah yeah
 What I want and what I really need
 Only You know the difference
 Learning You do what's best for me
 With every answer given
 Déjà vu, it's what You do (yuh)
 You're showing me in time
 You say yes, You, You say no
 For my best, God, You know
 Better than me, better than me
 You say yes, You, You say no
 For my best, God, You know
 Better than me, better than me, yeah yeah
 Giving me what I really need
 To make me more like You
 Less like me, less like me (whoa)
 Giving me what I really need
 To make me more like You
 Less like me, less like me
 I forget sometimes
 Oh
 You say yes, You, You say no
 For my best, God, You know
 Better than me, better than me
 Oh
 You say yes, You, You say no (whether You say no)
 For my best, God, You know
 Better than me (You know better than me)
 Better than me, yeah yeah (whoa)"
5ld178m33JKhm0F1XN1kQA,Thunder Kiss '65,2019,Rock,4,0,0,1,0,joy,"Well, sweet a little sista's high in hell cheat'n on a halo
 Grind in a Odyssey Holocaust heart kick on tomorrow
 And a breakdown agony said, ""Ecstasy"" in overdrive
 When you're riding on the world, thunder kiss'n
 1965 yeah
 Five yeah
 ♪
 Demon-warp is coming alive
 In 1965, five, five
 Livin' fast and dying young like a endless poetry
 My motor-psycho nightmare freak out inside of me
 My soul salvation liberation on the drive
 The power of the blaster move me faster
 1965 yeah
 Five yeah
 Demon-warp is coming alive
 In 1965, five, five
 ♪
 Gimme that, gimme that now, now, now
 Yeah, roll'n like a supersonic
 Another fool that gets down on it
 Pig sweat a million miles
 I got a heart atomic style
 Make it look easy, that's what I said
 Blast of silence explodes in my head
 ♪
 Yeah, yeah, yeah
 Gimme that, gimme that now
 Gimme that, gimme that now
 Gimme that, gimme that now
 Gimme that, gimme that
 Step to the moonshine frenzy hail, the resurrection
 What's new pussycat?
 Can you dig the satisfaction?
 Well, you can't take it with you but you can in overdrive
 Yeah, some like it hot and twist'n
 1965 yeah
 Five yeah
 Demon-warp is coming alive
 In 1965, five, five"
6UryEVkqPDLliZOG4UmFi9,2021,2019,Rock,3,0,0,0,0,joy,"Boy, boy

2021, will you think about me?
I could wait a year, but I shouldn't wait three (boy)
I don't wanna be (boy)
Hum, hum, hum, hum, hum
2021, will you think about us?
Copper goes green, steel beams go rust (boy)
It's a matter of (boy)

Boy, boy

Boy, boy

2021, will you think 'bout me?
I could wait a year, but I couldn't wait three (boy)
I don't wanna be (boy)

2021, will you think about us?
Copper goes green, steel beams go rust (boy)
It's a matter of (boy)
Hum, hum, hum, hum, hum"
0HMco7zpjdsloHqToLjiLK,Mine,2019,Electronic,3,0,3,0,0,joy,"I fell in love
First date, but boy, you know it's not enough
And you talkin' to me, boy, like you wanted something
Well, baby, come and come and get you some

Just hit me on your celly when you're ready
And he tell his friends he want me
Boy, you know I'm tempted, you know I'm tempted
Let me give you this attention
And you know, boy, I got somethin' special out of these women
Oh, you can get it

Oh me, oh my, oh me, oh my
Oh yeah, I wanna make you mine
Oh me, oh my, oh me, oh my-y-y
Yeah, I wanna make you mine
Oh me, oh whoa, oh, oh me, oh whoa
Yeah-yeah, oh me, oh my
Oh me, oh whoa, oh, oh me, oh whoa
Yeah-yeah, oh me, oh my

Out of the club
I didn't know your name, boy
I fell in love
First kiss, your lips drove me insane, boy

Just hit me on your celly when you're ready
And he tell his friends he want me
Boy, you know I'm tempted, you know I'm tempted
Let me give you this attention
Oh, what you doin' to me?
Oh, you can get it

Oh me, oh my, oh me, oh my
Oh yeah, I wanna make you mine
Oh me, oh my, oh me, oh my-y-y
Yeah, I wanna make you mine

Oh me, oh whoa, oh, oh me, oh whoa
Oh me, oh my
Oh me, oh whoa, oh, oh me, oh whoa
Baby, oh me, oh my

Oh me, oh my, oh me, oh my
Oh yeah, I wanna make you mine
Oh me, oh my, oh me, oh my-y-y
(Yeah) yeah, I wanna make you mine

Oh me, oh whoa, oh, oh me, oh whoa
Oh me, oh my
Oh me, oh whoa, oh, oh me, oh whoa
Yeah-yeah, oh me, oh my"
